service_request_id,requested_datetime,updated_datetime,source,service_name,description,agency_responsible,address,council_district,status_description,lat,long
5080727,2018-07-02 07:03:00,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM,"1412 SYLVAN WAY , LOUISVILLE, KY, 40205",10,CLOSED,38.2065876118,-85.6957361386
5080729,2018-07-02 07:03:00,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM,"1420 SYLVAN WAY , LOUISVILLE, KY, 40205",10,CLOSED,38.2072991336,-85.6963837623
5080731,2018-07-02 07:03:00,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM,"1521 SYLVAN WAY , LOUISVILLE, KY, 40205",10,CLOSED,38.2097654441,-85.6996977618
5080726,2018-07-02 07:05:00,,UNKNOWN,NEW RECYCLE CART,"NEW RECYCLE CART, RECYN, SWMS",SWMS - ADMINISTRATION,"418 MCCREADY AVE , LOUISVILLE, KY, 40206",9,CLOSED,38.2495759608,-85.6713707904
5080732,2018-07-02 07:14:00,,UNKNOWN,ALLEY REPAIR,"ALLEY REPAIR, CRACK SEAL, UNEVEN SURFACE, SKIN PATCH, DEPRESSION, STREP",LPM,"319 IOWA AVE , LOUISVILLE, KY, 40208",15,CLOSED,38.2078707429,-85.7645600444
5080733,2018-07-02 07:15:00,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM,"135 N BAYLY AVE , LOUISVILLE, KY, 40206",9,CLOSED,38.256305771,-85.6923234942
5080734,2018-07-02 07:16:00,,UNKNOWN,NOISE CONCERNS,"ILLEGAL NOISE, MUSIC, NOT ANIMAL NOISE",METRO POLICE DEPARTMENT,"1725 DUNCAN ST , LOUISVILLE, KY, 40203",5,CLOSED,38.2619400956,-85.77858283
5080735,2018-07-02 07:18:00,,UNKNOWN,UTILITY CUT,"UTILITY CUT, PLATES, OBSTRUCTION, RIGHT OF WAY, ROWOB",LOUISVILLE WATER COMPANY,"1202 DURRETT LN , LOUISVILLE, KY, 40213",21,CLOSED,38.1864614863,-85.7234649769
5080736,2018-07-02 07:19:22,,UNKNOWN,PESTS,"PEST, INSECTS, MICE, BUGS, NOT MOSQUITOES, INFESTATION",IPL-PROPERTY MAINTENANCE DIV.,"1768 W ORMSBY AVE , LOUISVILLE, KY, 40210",6,CLOSED,38.2349181463,-85.7855108897
5080737,2018-07-02 07:21:00,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM,"3108 DOREEN WAY , LOUISVILLE, KY, 40220",26,CLOSED,38.2184090494,-85.6547027458
5080740,2018-07-02 07:24:00,,UNKNOWN,LONG LINE STRIPE,"LONG LINE STRIPE, LANE MARKING, NEW, REFRESH, MARKR",PUBLIC WORKS - TRAFFIC ENG," LOWER HUNTERS TRCE , LOUISVILLE, KY, 40216",12,CLOSED,38.1586293777,-85.8493336269
5080743,2018-07-02 07:25:40,,UNKNOWN,INTERIOR VIOL,"INTERIOR VIOLATION, INCLUDES NO HEAT, ELECTRICAL, INTVI",IPL-PROPERTY MAINTENANCE DIV.,"4034 PARTHENIA AVE , LOUISVILLE, KY, 40215",15,CLOSED,38.1844695336,-85.7934224934
5080747,2018-07-02 07:27:00,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM," S 6TH ST , LOUISVILLE, KY, 40202",4,CLOSED,38.25342842,-85.76046482
5080749,2018-07-02 07:28:00,,UNKNOWN,NEW GARBAGE CART,"NEW GARBAGE CART, CARTN, SWMS",SWMS - ADMINISTRATION,"312 PENRUTH AVE , LOUISVILLE, KY, 40207",9,CLOSED,38.2639250196,-85.6815337819
5080748,2018-07-02 07:29:00,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"5205 E MANSLICK RD , LOUISVILLE, KY, 40219",23,CLOSED,38.1192173736,-85.6634948946
5080750,2018-07-02 07:32:00,,UNKNOWN,NEW RECYCLE CART,"NEW RECYCLE CART, RECYN, SWMS",SWMS - ADMINISTRATION,"989 EASTERN PKY , LOUISVILLE, KY, 40217",10,CLOSED,38.2205663916,-85.7338344978
5080751,2018-07-02 07:34:24,,UNKNOWN,ILLEGAL PARKING,"ILLEGAL PARKING IN PARC AREAS ONLY, ILLPK",PARKING AUTHORITY OF RIVER CTY," N BAYLY AVE , LOUISVILLE, KY, 40206",9,CLOSED,38.25473473,-85.6922509332
5080753,2018-07-02 07:36:00,,UNKNOWN,VAP STRUC WEEDS,"PRIVATE PROPERTY, ABANDONED, STRUCTURE, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"9006 DENISE DR , LOUISVILLE, KY, 40219",23,CLOSED,38.118994006,-85.6624372208
5080754,2018-07-02 07:37:19,,UNKNOWN,ILLEGAL PARKING,"ILLEGAL PARKING IN PARC AREAS ONLY, ILLPK",PARKING AUTHORITY OF RIVER CTY,"1315 LEXINGTON RD , LOUISVILLE, KY, 40204",9,CLOSED,38.2505582365,-85.7269977972
5080755,2018-07-02 07:38:00,,UNKNOWN,WEATHER RELATED,"WEATHER RELATED, STORM",PUBLIC WORKS STORM/SNOW EVENT,"200 S 43RD ST , LOUISVILLE, KY, 40212",5,CLOSED,38.2635357079,-85.8199986582
5080756,2018-07-02 07:39:00,,UNKNOWN,HEALTH CONCERNS,"HEALTH CONCERNS, HELTH",HEALTH DEPT - ENVIR. HEALTH,"5929 TIMBER RIDGE DR , PROSPECT, KY, 40059",16,CLOSED,38.3402579119,-85.6213596197
5080758,2018-07-02 07:41:00,,UNKNOWN,GARBAGE MISSED,"GARBAGE MISSED, GARBM, SWMS",SWMS - WASTE COLLECTION,"2500 W OAK ST 2, LOUISVILLE, KY, 40210",6,OPEN,38.2375646418,-85.7949580642
5079018,2018-07-02 07:43:00,,UNKNOWN,RECYCLING MISSED,"RECYCLING MISSED, RECYM, SWMS",SWMS - WASTE COLLECTION,"3701 FRANKFORT AVE , LOUISVILLE, KY, 40207",9,CLOSED,38.2544327828,-85.6626612384
5080759,2018-07-02 07:45:00,,UNKNOWN,VAP STRUC WEEDS,"PRIVATE PROPERTY, ABANDONED, STRUCTURE, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"1737 S 25TH ST , LOUISVILLE, KY, 40210",3,CLOSED,38.2264965388,-85.7982843427
5080760,2018-07-02 07:45:00,,UNKNOWN,ILLEGAL DUMPING,"ILLEGAL DUMPING, NOT ON PRIVATE PROPERTY, DUMPV, SWMS",SWMS - ENFORCEMENT UNIT,"1757 W LEE ST , LOUISVILLE, KY, 40210",3,CLOSED,38.2267396229,-85.7873712722
5080764,2018-07-02 07:51:00,,UNKNOWN,DAMAGE GARB CART,"DAMAGED GARBAGE CART, CARTD, SWMS",SWMS - ADMINISTRATION,"2826 ELEANOR AVE , LOUISVILLE, KY, 40205",8,CLOSED,38.2154425542,-85.6791757748
5080766,2018-07-02 07:58:00,,UNKNOWN,EASEMENT OTHER,"EASEMENT, OBSTRUCTION, ROWOB",LPM,"1652 LUCIA AVE , LOUISVILLE, KY, 40204",8,CLOSED,38.2367973271,-85.7186362165
5080768,2018-07-02 07:59:44,,UNKNOWN,PESTS,"PEST, INSECTS, MICE, BUGS, NOT MOSQUITOES, INFESTATION",IPL-PROPERTY MAINTENANCE DIV.,"1132 MILTON ST , LOUISVILLE, KY, 40217",10,CLOSED,38.2226176623,-85.7370931608
5080769,2018-07-02 08:00:00,,UNKNOWN,EASEMNT DRAINAGE,"EASEMENT DRAINAGE, STANDING WATER NEAR ROADWAY",LPM,"6516 LOVERS LN , LOUISVILLE, KY, 40291",22,OPEN,38.1516922592,-85.5787612531
5080771,2018-07-02 08:04:00,,UNKNOWN,ABANDON VEHICLE,"ABANDONED VEHICLE ROW, STREET,  ALLEY, AVROW, VEHIC",METRO POLICE DEPARTMENT,"2308 DATE ST , LOUISVILLE, KY, 40210",6,OPEN,38.2431558985,-85.7922876145
5080751,2018-07-02 08:08:00,,UNKNOWN,ILLEGAL PARKING,"ILLEGAL PARKING IN PARC AREAS ONLY, ILLPK",PARKING AUTHORITY OF RIVER CTY," N BAYLY AVE , LOUISVILLE, KY, 40206",9,CLOSED,38.25473473,-85.6922509332
5080774,2018-07-02 08:08:00,,UNKNOWN,YARD WASTE MISS,"YARD WASTE MISSED, YARDM, SWMS",SWMS - WASTE COLLECTION,"900 BARRINGTON CT , LOUISVILLE, KY, 40207",9,CLOSED,38.241382203,-85.6578875186
5080779,2018-07-02 08:10:00,,UNKNOWN,VAP STRUC WEEDS,"PRIVATE PROPERTY, ABANDONED, STRUCTURE, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"2013 W JEFFERSON ST , LOUISVILLE, KY, 40203",4,CLOSED,38.2570801953,-85.7841474256
5080780,2018-07-02 08:11:00,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"4320 S 1ST ST , LOUISVILLE, KY, 40214",15,CLOSED,38.1924640794,-85.7617612998
5080781,2018-07-02 08:12:00,,UNKNOWN,STREET HAZARD,"STREET OBSTRUCTION, POSSIBLE DANGER TO MOTORISTS, DOWNED TREES, ROWOB",LPM," VORSTER AVE , LOUISVILLE, KY, 40210",3,CLOSED,38.2256087835,-85.7967809843
5054037,2018-07-02 08:14:00,,UNKNOWN,STOLEN GARB CART,"STOLEN GARBAGE CART, CARTS, MISSING, SWMS",SWMS - ADMINISTRATION,"1343 S SHELBY ST , LOUISVILLE, KY, 40217",4,CLOSED,38.2289351233,-85.7417660417
5079926,2018-07-02 08:14:00,,UNKNOWN,GARBAGE MISSED,"GARBAGE MISSED, GARBM, SWMS",SWMS - WASTE COLLECTION,"3402 PFLANZ AVE , LOUISVILLE, KY, 40212",5,CLOSED,38.2739104424,-85.8028246192
5080786,2018-07-02 08:17:51,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"750 ZORN AVE 1, LOUISVILLE, KY, 40206",9,CLOSED,38.269778004,-85.6942075029
5080789,2018-07-02 08:18:00,,UNKNOWN,INTERIOR VIOL,"INTERIOR VIOLATION, INCLUDES NO HEAT, ELECTRICAL, INTVI",IPL-PROPERTY MAINTENANCE DIV.,"2627 W MADISON ST , LOUISVILLE, KY, 40211",5,CLOSED,38.254449407,-85.7955854577
5080790,2018-07-02 08:20:00,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"8617 JAMES R RD , LOUISVILLE, KY, 40118",13,CLOSED,38.1234193902,-85.7564745055
5080791,2018-07-02 08:20:00,,UNKNOWN,GARBAGE MISSED,"GARBAGE MISSED, GARBM, SWMS",SWMS - WASTE COLLECTION,"1305 S 26TH ST , LOUISVILLE, KY, 40210",6,OPEN,38.2365963369,-85.7961144054
5080796,2018-07-02 08:23:00,,UNKNOWN,GARBAGE MISSED,"GARBAGE MISSED, GARBM, SWMS",SWMS - WASTE COLLECTION,"3311 GRAND AVE , LOUISVILLE, KY, 40211",1,CLOSED,38.2419490163,-85.8085139703
5080794,2018-07-02 08:25:00,,UNKNOWN,TRASH PVT PROP,"TRASH PRIVATE PROPERTY, TRASH, GARBAGE, JUNK",IPL-PROPERTY MAINTENANCE DIV.,"11300 BRENTLINGER LN , LOUISVILLE, KY, 40291",22,CLOSED,38.1339846596,-85.5529060957
5080795,2018-07-02 08:26:00,,UNKNOWN,RECYCLING MISSED,"RECYCLING MISSED, RECYM, SWMS",SWMS - WASTE COLLECTION,"134 WOODMORE AVE , LOUISVILLE, KY, 40214",21,CLOSED,38.1518562217,-85.7743943573
5080799,2018-07-02 08:29:00,,UNKNOWN,ABANDON VEHICLE,"ABANDONED VEHICLE ROW, STREET,  ALLEY, AVROW, VEHIC",METRO POLICE DEPARTMENT,"5108 GATHWRIGHT DR , LOUISVILLE, KY, 40218",2,CLOSED,38.1901628928,-85.6642586008
5080804,2018-07-02 08:31:00,,UNKNOWN,UTILITY CONCERNS,"UTILITY CONCERNS, UTIL",PUBLIC WORKS INSPECTION GROUP,"3042 WEDGEWOOD WAY , LOUISVILLE, KY, 40220",26,CLOSED,38.217020785,-85.6511600619
5080805,2018-07-02 08:32:43,,UNKNOWN,VAP EXTERIOR,"PRIVATE PROPERTY, ABANDONED, VACANT STRUCTURE",IPL-PROPERTY MAINTENANCE DIV.,"1700 OWEN ST , LOUISVILLE, KY, 40203",5,CLOSED,38.2621227866,-85.7780537352
4979035,2018-07-02 08:33:00,,UNKNOWN,VAP EXTERIOR,"PRIVATE PROPERTY, ABANDONED, VACANT STRUCTURE",IPL-PROPERTY MAINTENANCE DIV.,"319 SHAWNEE DR , LOUISVILLE, KY, 40212",5,CLOSED,38.261458141,-85.8245830026
5080809,2018-07-02 08:34:05,,UNKNOWN,RECYCLE BINS,"RECYCLE BINS, RECYCLING, NEW RECYB, DAMAGED, MISSING, SWMS",SWMS - ADMINISTRATION,"640 N BIRCHWOOD AVE , LOUISVILLE, KY, 40206",9,CLOSED,38.2668993478,-85.6993475562
5080810,2018-07-02 08:36:00,,UNKNOWN,RAT BAITING,"RATS, PRIVATE PROPERTY ONLY",IPL-PROPERTY MAINTENANCE DIV.,"2900 EDMONIA AVE , LOUISVILLE, KY, 40220",26,CLOSED,38.2247162538,-85.625037867
5080812,2018-07-02 08:38:00,,UNKNOWN,PARK MAINTAIN,"PARK MAINTENANCE ALL, PKMTN, PKREP, PKREC",METRO PARKS,"4666 CLIFF AVE , LOUISVILLE, KY, 40215",21,CLOSED,38.1830861699,-85.7768690251
5080814,2018-07-02 08:40:34,,UNKNOWN,MISCELLANEOUS,"MISCELLANEOUS, MISC, CONCERN, ISSUE",SWMS - ADMINISTRATION,"3311 GRAND AVE , LOUISVILLE, KY, 40211",1,CLOSED,38.2419490163,-85.8085139703
5080815,2018-07-02 08:41:00,,UNKNOWN,VEHICLE PVT PROP,"VEHICLE PRIVATE PROPERTY, ABANDONED, INOPERABLE, NOT LICENSED, AVPRI",IPL-PROPERTY MAINTENANCE DIV.,"3000 KLONWAY DR , LOUISVILLE, KY, 40220",26,CLOSED,38.2049399165,-85.6345690193
5080567,2018-07-02 08:43:00,,UNKNOWN,GARBAGE VIOLATIO,"GARBAGE VIOLATION, GARBV, SWMS",SWMS - ENFORCEMENT UNIT,"2006 BRADLEY AVE , LOUISVILLE, KY, 40217",15,CLOSED,38.2169471068,-85.7507726456
5080816,2018-07-02 08:43:00,,UNKNOWN,TRAF SIGNAL REPR,"TRAFFIC SIGNAL REPAIR, TRSGR",PUBLIC WORKS - ELEC MAINT," BRIARCLIFF RD , LOUISVILLE, KY, 40219",13,OPEN,38.1361874718,-85.6971004252
5080817,2018-07-02 08:44:00,,UNKNOWN,STOLEN GARB CART,"STOLEN GARBAGE CART, CARTS, MISSING, SWMS",SWMS - ADMINISTRATION,"4014 PARTHENIA AVE , LOUISVILLE, KY, 40215",15,OPEN,38.1854922451,-85.7933432997
